Model type,test_examples,batch size,epoch,early stop epoch,test accuracy,test_cross_entropy,test_correct,val accuracy,val_cross_entropy,val_correct,train_cross_entropy,learning_rate
1,2500,32,500,50,0.1668,5.6139062857016535,417,0.15705263157894736,5.694781506383741,746,2.641225028484502,0.001
1,2500,32,500,50,0.1536,6.628760322546348,384,0.15642105263157896,6.296607088398289,743,2.7338417601496094,0.001
1,2500,32,500,50,0.16,6.962247924926953,400,0.14463157894736842,6.60341871912415,687,2.704911323165179,0.001
1,2500,32,500,50,0.1504,7.259015896381476,376,0.14778947368421053,6.922291625190425,702,2.73305826682723,0.001
1,2500,32,500,50,0.1436,7.006372130834139,359,0.1503157894736842,6.846614268985954,714,2.730358098017589,0.001
1,2500,32,500,50,0.15,7.4459512661664915,375,0.14526315789473684,7.342282730179864,690,2.803478689229444,0.001
1,2500,32,500,50,0.1412,7.5870379240084915,353,0.1433684210526316,7.4892138597127555,681,2.7760320730423658,0.001
1,2500,32,500,50,0.1504,7.789143971907786,376,0.13726315789473684,7.6298783888687955,652,2.791896807120534,0.001
1,2500,32,500,50,0.1516,8.297736284060356,379,0.1503157894736842,7.9141523000356315,714,2.7495793272493483,0.001
1,2500,32,500,50,0.1536,8.06478545604608,384,0.1503157894736842,7.80799425937034,714,2.649256272262402,0.001
1,2500,32,500,50,0.1484,8.766435989966759,371,0.14273684210526316,8.59118530234775,678,2.600376190719533,0.001
1,2500,32,500,50,0.15,8.489079637405199,375,0.15073684210526317,8.549759429854316,716,2.652292802449916,0.001
1,2500,32,500,50,0.156,9.524234848144728,390,0.14378947368421052,9.277792518203324,683,2.6146358214514085,0.001
1,2500,32,500,50,0.15,8.64887058429229,375,0.14463157894736842,8.119140953631014,687,2.6290254641114994,0.001
1,2500,32,500,50,0.1456,9.34211818071512,364,0.1423157894736842,8.812200517267794,676,2.5621879418244524,0.001
1,2500,32,500,50,0.1376,9.498492516004122,344,0.13978947368421052,9.252344073476019,664,2.5484040575974,0.001
1,2500,32,500,50,0.1432,8.7288709909488,358,0.1431578947368421,8.279422296060098,680,2.6220290270637485,0.001
1,2500,32,500,50,0.1468,9.610173237629425,367,0.14736842105263157,9.432952687547013,700,2.5832195490487058,0.001
1,2500,32,500,50,0.1456,9.84539315639398,364,0.144,9.466116119075465,684,2.6177858070041355,0.001
1,2500,32,500,50,0.154,11.376061060489752,385,0.14442105263157895,10.55057029144184,686,2.550763308376855,0.001
1,2500,32,500,50,0.15,11.582281607847948,375,0.14294736842105263,11.129482451322916,679,2.6766452650898853,0.001
1,2500,32,500,50,0.146,11.534962550187723,365,0.148,11.213833940995706,703,2.664970793840144,0.001
1,2500,32,500,50,0.1452,13.192043059911484,363,0.14842105263157895,12.506804337372651,705,2.619980445202817,0.001
1,2500,32,500,50,0.1488,12.862797969426865,372,0.14421052631578948,12.441382553126362,685,2.674881865647848,0.001
1,2500,32,500,50,0.1364,13.417216111452152,341,0.144,12.976732531109372,684,2.6521870858213874,0.001
1,2500,32,500,50,0.14,13.869120634519136,350,0.1406315789473684,13.373812607816747,668,2.5972826976231422,0.001
1,2500,32,500,50,0.1428,14.401845974799913,357,0.1433684210526316,13.304111931775067,681,2.522430339645357,0.001
1,2500,32,500,50,0.1412,14.316509473018158,353,0.1406315789473684,13.419364578015095,668,2.5794554845447397,0.001
1,2500,32,500,50,0.1428,16.03287842334845,357,0.14568421052631578,15.023397400572494,692,2.598079410519046,0.001
