Model type,test_examples,batch size,epoch,early stop epoch,test accuracy,test_cross_entropy,test_correct,val accuracy,val_cross_entropy,val_correct,train_cross_entropy,learning_rate
"
"
---,---,---,---,---,---,---,---,---,---,---,---,---,---
"
"
1,2500,32,500,50,0.1032,3.9104267939543114,258,0.10189473684210526,3.9427961980974353,484,4.752005323488614,0.001
1,2500,32,500,50,0.142,3.6099587098146095,355,0.15010526315789474,3.6451688940460616,713,3.779236537061827,0.001
1,2500,32,500,50,0.1568,3.583260612610059,392,0.16252631578947369,3.622940788397918,772,3.572566186176257,0.001
1,2500,32,500,50,0.1736,3.5302110268519473,434,0.16821052631578948,3.5609710667584396,799,3.460291254029292,0.001
1,2500,32,500,50,0.1808,3.5833282348437185,452,0.16463157894736843,3.654568391877252,782,3.366764906551061,0.001
1,2500,32,500,50,0.1656,3.7051481130795603,414,0.15263157894736842,3.790490458140502,725,3.2944853920168646,0.001
1,2500,32,500,50,0.1696,3.6946483178016467,424,0.1656842105263158,3.753865076077951,787,3.2160007198205154,0.001
1,2500,32,500,50,0.1724,3.756804808592185,431,0.1726315789473684,3.7862194406019674,820,3.1590688251823966,0.001
1,2500,32,500,50,0.1768,3.750891462350503,442,0.16989473684210527,3.775617564046705,807,3.1206837802344047,0.001
1,2500,32,500,50,0.174,3.8907544032121315,435,0.1686315789473684,3.898402784321759,801,3.074322920881407,0.001
1,2500,32,500,50,0.182,3.9093893338472414,455,0.16673684210526316,3.9427568590318836,792,3.047177525584617,0.001
1,2500,32,500,50,0.1652,3.9972328528379784,413,0.15642105263157896,4.053833110912426,743,3.0362393448861797,0.001
1,2500,32,500,50,0.16,4.060342730619968,400,0.1711578947368421,4.1167223985130725,813,3.022348745931847,0.001
1,2500,32,500,50,0.1668,4.029428295600108,417,0.16905263157894737,4.044138840726904,803,2.9441726751541824,0.001
1,2500,32,500,50,0.1716,4.0901843798466215,429,0.17178947368421052,4.199932071002754,816,2.90232059839513,0.001
1,2500,32,500,50,0.1604,4.363953550656636,401,0.16021052631578947,4.381144223986445,761,2.93032248886337,0.001
1,2500,32,500,50,0.1672,4.4755804141362505,418,0.16231578947368422,4.50117791182286,771,2.932559755678927,0.001
1,2500,32,500,50,0.1568,4.638120599282094,392,0.15494736842105264,4.528213504198435,736,2.953862251860372,0.001
1,2500,32,500,50,0.1692,4.827115609095647,423,0.16336842105263158,4.899323998270808,776,2.9108563434765133,0.001
1,2500,32,500,50,0.1692,5.092773666748633,423,0.16273684210526315,5.240105891549909,773,2.8310700373703175,0.001
1,2500,32,500,50,0.1516,5.550939043362935,379,0.14673684210526317,5.512498264377181,697,2.8411705676982466,0.001
1,2500,32,500,50,0.1536,5.75113121057168,384,0.14989473684210528,5.634594926962981,712,2.926496312859353,0.001
1,2500,32,500,50,0.1636,5.5637668279501105,409,0.15831578947368422,5.5222699932149935,752,2.9106152416168527,0.001
1,2500,32,500,50,0.1592,6.209728170663882,398,0.15221052631578946,6.105041363754788,723,2.8232149293806668,0.001
1,2500,32,500,50,0.166,6.106080926381624,415,0.15263157894736842,6.087468769099261,725,2.671427596017216,0.001
