Epoch,TrainLoss,ValidationLoss,ValidationAccuracy,TestLoss,TestAccuracy
0,0.660976930790477,0.512620124916236,0.830625,0.502192567785581,0.833333333333333
1,0.459381842789827,0.454963172078133,0.844791666666667,0.445864181578159,0.8495
2,0.41566707852262,0.426801916658878,0.853958333333333,0.419065426309903,0.85725
3,0.389354238703295,0.408428201476733,0.862291666666667,0.401578487356504,0.861416666666667
4,0.37002133042724,0.3942632056276,0.866041666666667,0.388698500434558,0.865333333333333
5,0.354592692509845,0.384135058323542,0.868541666666667,0.379202351152897,0.869166666666667
6,0.341646289825439,0.375567848980427,0.870625,0.371346969048182,0.872166666666667
7,0.330467975890195,0.368281999776761,0.873541666666667,0.365004852175713,0.873166666666667
8,0.320370692779069,0.362260819077492,0.87625,0.359709650784731,0.875083333333333
9,0.311296738181953,0.357321946024895,0.876458333333333,0.355029485821724,0.87625
10,0.303032381965054,0.352319923589627,0.877708333333333,0.350530675619841,0.877166666666667
11,0.295388423287206,0.348564063310623,0.878333333333333,0.347199017316103,0.878833333333333
12,0.288171242911507,0.344817633728186,0.879583333333333,0.344125711450974,0.880166666666667
13,0.28155993959694,0.342025609612465,0.880416666666667,0.341770037174225,0.881666666666667
14,0.275151103950209,0.339387958943844,0.880833333333333,0.339328801373641,0.882666666666667
15,0.269223676511535,0.336754819999139,0.881458333333333,0.337048316776752,0.883333333333333
16,0.263595260986023,0.334123823692401,0.883125,0.335059589167436,0.88425
17,0.258145915504407,0.331576052457094,0.883125,0.333108550459147,0.88475
18,0.252932920094441,0.329366314361493,0.88375,0.331248524397612,0.885666666666667
19,0.247952038154558,0.328128028859695,0.884791666666667,0.330163408835729,0.886416666666667
20,0.243070684089153,0.326134005685647,0.88625,0.328201222588619,0.88725
21,0.238419080042729,0.324908849447966,0.886875,0.327289606332779,0.88775
22,0.233971267723375,0.323655415525039,0.887291666666667,0.326213249991337,0.888166666666667
23,0.229594912294436,0.322418688088655,0.8875,0.325188156098127,0.889166666666667
24,0.22538116424172,0.321532934854428,0.888333333333333,0.324680976559718,0.889583333333333
25,0.22130952278497,0.320154585192601,0.889166666666667,0.323781751642625,0.88975
26,0.217251808160433,0.31953576207161,0.890208333333333,0.322900277574857,0.890166666666667
27,0.21331566248503,0.318650965193907,0.891041666666667,0.322151456534863,0.89
28,0.209434377244777,0.318515667418639,0.891458333333333,0.321925250212351,0.890416666666667
29,0.205804280387583,0.31789069339633,0.890625,0.321581768979629,0.89125
30,0.202140697874129,0.317374110966921,0.891666666666667,0.32119997493426,0.89125
31,0.198567426415781,0.317308315038681,0.891875,0.321257712135712,0.891583333333333
32,0.195071548430456,0.317518423597018,0.892708333333333,0.321261877904336,0.891416666666667
33,0.191666106588587,0.317085281511148,0.893125,0.320840448419253,0.89175
34,0.188247740730919,0.317381419340769,0.892916666666667,0.320884605328242,0.892
35,0.184997210406043,0.317699725106359,0.893333333333333,0.32110329045852,0.89225
36,0.181844503829877,0.317918125838041,0.894166666666667,0.321129316111406,0.892833333333333
37,0.178657365726928,0.317794601966937,0.893125,0.321085793832938,0.892916666666667
38,0.175574906094483,0.318480967481931,0.894375,0.321427897453308,0.893833333333333
39,0.172454894897011,0.319097932924827,0.894791666666667,0.322285494615634,0.893416666666667
40,0.169516994170845,0.31966425023973,0.894791666666667,0.322537625024716,0.893416666666667
41,0.166672340319664,0.320180212681492,0.896041666666667,0.322757158736388,0.894083333333333
42,0.163719338850567,0.320349116176367,0.896041666666667,0.323130468259255,0.894
