Epoch,TrainLoss,ValidationLoss,ValidationAccuracy,TestLoss,TestAccuracy
0,0.508842040300369,0.403410984377066,0.859791666666667,0.408394209841887,0.850166666666667
1,0.381341520144984,0.365304238945246,0.872083333333333,0.375298412819703,0.86475
2,0.339095390163086,0.353841576874256,0.878333333333333,0.365034032265345,0.869666666666667
3,0.311476903739903,0.373197407672803,0.874583333333333,0.382586756368478,0.864916666666667
4,0.28966011951919,0.36562455445528,0.877708333333333,0.377101868430773,0.870083333333333
5,0.271718117917577,0.348910881876946,0.885,0.355926126023134,0.876666666666667
6,0.257033377736807,0.348117375721534,0.886875,0.35469493629535,0.878416666666667
7,0.2431716579392,0.355543067157269,0.887708333333333,0.365522757589817,0.877666666666667
8,0.230853998786597,0.38775569225351,0.883541666666667,0.379826494266589,0.878416666666667
9,0.220551003773731,0.360062397420406,0.888125,0.359823752572139,0.879
10,0.212265073546657,0.3664588359495,0.886458333333333,0.364892030864954,0.87975
11,0.200679825274619,0.355843863300979,0.887291666666667,0.368741104424,0.88125
12,0.191052448908212,0.377735791305701,0.88625,0.380417361627022,0.878666666666667
13,0.184973964852591,0.382947029943268,0.89,0.370895533670982,0.885166666666667
14,0.176909674577139,0.370488292078177,0.890833333333333,0.373452205499013,0.88375
15,0.167109661776469,0.399778834432364,0.885416666666667,0.402701079150041,0.8785
