Model type,test_examples,batch size,epoch,early stop epoch,test accuracy,test_cross_entropy,test_correct,val accuracy,val_cross_entropy,val_correct,train_cross_entropy,learning_rate
1,2500,32,500,50,0.2264,6.587058128454746,566,0.22757894736842105,6.487197737436037,1081,0.07885463844552246,3e-05
1,2500,32,500,50,0.2256,6.5048546974475565,564,0.23031578947368422,6.4049353631767065,1094,0.08940375391254377,3e-05
1,2500,32,500,50,0.226,6.592031674507337,565,0.2385263157894737,6.506687025766115,1133,0.06348114777216862,3e-05
1,2500,32,500,50,0.2228,6.783393707030859,557,0.22989473684210526,6.693737587413272,1092,0.05410628189099081,3e-05
1,2500,32,500,50,0.2236,6.864158330819546,559,0.2294736842105263,6.782498762414262,1090,0.052495256770220815,3e-05
1,2500,32,500,50,0.2384,6.8832654647338085,596,0.2296842105263158,6.788469965393479,1091,0.050128690601232345,3e-05
1,2500,32,500,50,0.228,7.031031522995386,570,0.2345263157894737,6.849784414510469,1114,0.04665411523428191,3e-05
1,2500,32,500,50,0.2288,7.048040769039056,572,0.23305263157894737,6.935202798327884,1107,0.04059483827220813,3e-05
1,2500,32,500,50,0.2324,7.084120652614495,581,0.24042105263157895,6.985214976040092,1142,0.034757838234975094,3e-05
1,2500,32,500,50,0.2308,6.921396530591524,577,0.2385263157894737,6.8376768279719995,1133,0.03750585822252494,3e-05
1,2500,32,500,50,0.2268,7.120135826942248,567,0.23663157894736842,6.9996493281544865,1124,0.03403424522054664,3e-05
1,2500,32,500,50,0.2372,7.093001310641949,593,0.24168421052631578,6.95837706488532,1148,0.03352340179694335,3e-05
1,2500,32,500,50,0.2372,7.123029452103835,593,0.24568421052631578,6.9795408603307365,1167,0.02584353302908915,3e-05
1,2500,32,500,50,0.2328,7.350044751778627,582,0.24126315789473685,7.121195168108554,1146,0.023839856939711208,3e-05
1,2500,32,500,50,0.2412,7.345376216448271,603,0.2385263157894737,7.275841957813984,1133,0.030425510296688767,3e-05
1,2500,32,500,50,0.2356,7.421253057626577,589,0.24442105263157896,7.25716525477332,1161,0.022745981632403975,3e-05
1,2500,32,500,50,0.2336,7.333253829907148,584,0.23705263157894738,7.324909177986351,1126,0.02559498982174385,3e-05
1,2500,32,500,50,0.2268,7.3929574611859445,567,0.24063157894736842,7.298843502998352,1143,0.02333495336556842,3e-05
1,2500,32,500,50,0.2124,7.634583302033254,531,0.22631578947368422,7.504209592535689,1075,0.021834327162013212,3e-05
1,2500,32,500,50,0.2356,7.454498994044768,589,0.23810526315789474,7.272039890289307,1131,0.0246509050600726,3e-05
1,2500,32,500,50,0.2416,7.625637824718769,604,0.24084210526315789,7.537703526986612,1144,0.013377057810136107,3e-05
1,2500,32,500,50,0.2384,7.4327718294583836,596,0.24273684210526317,7.368960203351201,1153,0.02602182120880049,3e-05
1,2500,32,500,50,0.2392,7.7191760417742605,598,0.23768421052631578,7.653333515734286,1129,0.018777927290125007,3e-05
1,2500,32,500,50,0.2364,7.460379496598855,591,0.23621052631578948,7.461457782500499,1122,0.020628560624653926,3e-05
1,2500,32,500,50,0.2452,7.5207992150233345,613,0.24,7.473753175219974,1140,0.01837677913316794,3e-05
1,2500,32,500,50,0.2332,7.597245839925913,583,0.24505263157894736,7.4981856797192545,1164,0.018309440979235266,3e-05
1,2500,32,500,50,0.2284,7.756441116333008,571,0.23642105263157895,7.58272749668843,1123,0.018048854950817185,3e-05
1,2500,32,500,50,0.2324,7.677779307732215,581,0.23705263157894738,7.5562862028946745,1126,0.02255111708016264,3e-05
1,2500,32,500,50,0.2376,7.740352428876436,594,0.24505263157894736,7.575304321340613,1164,0.012877886231303258,3e-05
1,2500,32,500,50,0.2372,7.906006226172814,593,0.24526315789473685,7.7460291385650635,1165,0.01702389749598058,3e-05
1,2500,32,500,50,0.2476,7.631133947616968,619,0.24778947368421053,7.47975184788575,1177,0.01867510109515477,3e-05
1,2500,32,500,50,0.238,7.946832901392227,595,0.24189473684210527,7.784219919024287,1149,0.013841925477844486,3e-05
